Times Bins DMs SNRs
462472.0 1.0 40.0 8.524144351252303
462471.0 2.0 40.0 10.489994824821698
462472.0 2.0 40.0 10.060809402702994
338792.0 3.0 40.0 8.026802219624724
462470.0 3.0 40.0 9.871045859710517
462471.0 3.0 40.0 11.858244351282226
462472.0 3.0 40.0 10.221481476382287
338721.0 4.0 40.0 8.058217965876953
338791.0 4.0 40.0 8.498745387527979
338792.0 4.0 40.0 9.1575238153756
338793.0 4.0 40.0 8.565366393319438
338794.0 4.0 40.0 8.05463083132955
462469.0 4.0 40.0 8.721048347167219
462470.0 4.0 40.0 11.400570853681025
462471.0 4.0 40.0 12.00753692247619
462472.0 4.0 40.0 9.99049850137067
337838.0 5.0 40.0 8.215846633942094
337839.0 5.0 40.0 8.298605098476086
338720.0 5.0 40.0 9.061497445134298
338721.0 5.0 40.0 8.799987910238066
338791.0 5.0 40.0 9.574713002709915
338792.0 5.0 40.0 9.783261715695435
338793.0 5.0 40.0 8.995419356071054
338794.0 5.0 40.0 8.015581374493303
462468.0 5.0 40.0 8.067154768444327
462469.0 5.0 40.0 10.351244095322967
462470.0 5.0 40.0 11.751491507296741
462471.0 5.0 40.0 11.758115525348751
462472.0 5.0 40.0 8.96094140882189
336897.0 6.0 40.0 8.20832131127462
337837.0 6.0 40.0 8.297730486018086
337838.0 6.0 40.0 8.77518446918129
337839.0 6.0 40.0 8.627115781371002
338137.0 6.0 40.0 8.08677060808284
338719.0 6.0 40.0 8.217818928209928
338720.0 6.0 40.0 9.725723315300463
338721.0 6.0 40.0 8.659012650800031
338722.0 6.0 40.0 8.4535288521692
338790.0 6.0 40.0 8.919023441155408
338791.0 6.0 40.0 10.194245483123808
338792.0 6.0 40.0 10.148919664131089
338793.0 6.0 40.0 8.952269508695974
338794.0 6.0 40.0 8.003410942750072
462468.0 6.0 40.0 9.692914727120682
462469.0 6.0 40.0 10.868417664224081
462470.0 6.0 40.0 11.657123973871474
462471.0 6.0 40.0 10.756616886999094
462472.0 6.0 40.0 8.689676220423722
336895.0 7.0 40.0 8.301330543438533
336896.0 7.0 40.0 8.561517580379169
336897.0 7.0 40.0 8.466398213319776
337836.0 7.0 40.0 8.47670706587032
337837.0 7.0 40.0 8.862790088357851
337838.0 7.0 40.0 9.097797946949397
337839.0 7.0 40.0 8.485106274714719
338136.0 7.0 40.0 8.203148777999585
338718.0 7.0 40.0 8.039282839370978
338719.0 7.0 40.0 8.954128950192946
338720.0 7.0 40.0 9.583610862529966
338721.0 7.0 40.0 9.494086902188515
338722.0 7.0 40.0 8.74990389824247
338789.0 7.0 40.0 8.797602839014083
338790.0 7.0 40.0 9.603339110411056
338791.0 7.0 40.0 10.565745922178417
338792.0 7.0 40.0 10.081747923910426
338793.0 7.0 40.0 8.923507064493613
462467.0 7.0 40.0 9.439993169467742
462468.0 7.0 40.0 10.287696817115762
462469.0 7.0 40.0 10.922776160014521
462470.0 7.0 40.0 10.81367043624938
462471.0 7.0 40.0 10.430391266881704
462472.0 7.0 40.0 8.309747712535925
336894.0 8.0 40.0 8.565688827403758
336895.0 8.0 40.0 8.926836682627725
336896.0 8.0 40.0 8.819541949725565
336897.0 8.0 40.0 8.060614789758336
337835.0 8.0 40.0 8.502316285502154
337836.0 8.0 40.0 9.033569007867634
337837.0 8.0 40.0 9.201059050072097
337838.0 8.0 40.0 8.97599943742514
337839.0 8.0 40.0 8.51541003187443
337903.0 8.0 40.0 8.21459546111444
338134.0 8.0 40.0 8.105188069119844
338135.0 8.0 40.0 9.034224447058552
338717.0 8.0 40.0 8.080300640937004
338718.0 8.0 40.0 8.779041231697905
338719.0 8.0 40.0 8.917744314863205
338720.0 8.0 40.0 10.346627263716243
338721.0 8.0 40.0 9.744719998063873
338722.0 8.0 40.0 8.70577411667491
338723.0 8.0 40.0 8.389119600262957
338788.0 8.0 40.0 8.575069811827493
338789.0 8.0 40.0 9.48840421517678
338790.0 8.0 40.0 10.037975938365049
338791.0 8.0 40.0 10.524739716791998
338792.0 8.0 40.0 10.024895362665518
338793.0 8.0 40.0 8.753036687314088
338794.0 8.0 40.0 8.14327842985973
339443.0 8.0 40.0 8.026949257427216
339444.0 8.0 40.0 8.032185470802245
462466.0 8.0 40.0 8.889451477617683
462467.0 8.0 40.0 10.059253850168801
462468.0 8.0 40.0 10.428254926804565
462469.0 8.0 40.0 10.237218495844727
462470.0 8.0 40.0 10.556496616232552
462471.0 8.0 40.0 10.004314502828572
336893.0 9.0 40.0 8.369141561726364
336894.0 9.0 40.0 9.171025821334899
336895.0 9.0 40.0 9.180897442257837
336896.0 9.0 40.0 8.448103006345923
337834.0 9.0 40.0 8.42559969245475
337835.0 9.0 40.0 9.057238262389344
337836.0 9.0 40.0 9.375526037590545
337837.0 9.0 40.0 9.113991476064344
337838.0 9.0 40.0 9.007898647386805
337839.0 9.0 40.0 8.3910686965729
337902.0 9.0 40.0 8.016181018635416
337903.0 9.0 40.0 8.233308302303643
338134.0 9.0 40.0 9.119616685133774
338135.0 9.0 40.0 8.77912759825522
338136.0 9.0 40.0 8.132689703920885
338716.0 9.0 40.0 8.264811505103621
338717.0 9.0 40.0 8.805158915214992
338718.0 9.0 40.0 8.787889950431794
338719.0 9.0 40.0 9.710673369924061
338720.0 9.0 40.0 10.569306233029186
338721.0 9.0 40.0 9.67860276954431
338722.0 9.0 40.0 9.108652088108082
338723.0 9.0 40.0 8.538701406690675
338724.0 9.0 40.0 8.005760661680146
338787.0 9.0 40.0 8.950895097648136
338788.0 9.0 40.0 9.271650219860035
338789.0 9.0 40.0 9.940298744138492
338790.0 9.0 40.0 10.06860219717014
338791.0 9.0 40.0 10.483115824954915
338792.0 9.0 40.0 9.834210613875014
338793.0 9.0 40.0 9.01259236633633
339442.0 9.0 40.0 8.288720422317219
339443.0 9.0 40.0 8.412089229454294
339444.0 9.0 40.0 8.069132838120675
462465.0 9.0 40.0 8.03464386001082
462466.0 9.0 40.0 9.53971927445796
462467.0 9.0 40.0 10.242912733849355
462468.0 9.0 40.0 9.850612076173089
462469.0 9.0 40.0 10.067741704372313
462470.0 9.0 40.0 10.186178168888876
462471.0 9.0 40.0 9.177045238134793
336892.0 10.0 40.0 8.627569330131712
336893.0 10.0 40.0 8.978678844446502
336894.0 10.0 40.0 9.425757628717383
336895.0 10.0 40.0 8.835900154916443
336896.0 10.0 40.0 8.217954114324733
336897.0 10.0 40.0 8.040062287119076
337818.0 10.0 40.0 8.444910851506554
337834.0 10.0 40.0 8.980973498049664
337835.0 10.0 40.0 9.406985875881746
337836.0 10.0 40.0 9.311019053836516
337837.0 10.0 40.0 9.163556525991675
337838.0 10.0 40.0 8.88969544751893
337839.0 10.0 40.0 8.69073721389432
337840.0 10.0 40.0 8.304521868218819
337885.0 10.0 40.0 8.061197801727914
337902.0 10.0 40.0 8.068261577139822
338133.0 10.0 40.0 8.974684153707942
338134.0 10.0 40.0 8.899783762682903
338135.0 10.0 40.0 8.932556211118369
338136.0 10.0 40.0 8.007976674112077
338137.0 10.0 40.0 8.160125531532314
338716.0 10.0 40.0 8.966755231264473
338717.0 10.0 40.0 8.838018432085644
338718.0 10.0 40.0 9.57300506235289
338719.0 10.0 40.0 9.98497317431797
338720.0 10.0 40.0 10.492910556239137
338721.0 10.0 40.0 10.036473811015894
338722.0 10.0 40.0 9.238292836283412
338723.0 10.0 40.0 8.585236123425581
338724.0 10.0 40.0 8.147525089468932
338786.0 10.0 40.0 8.77264860128982
338787.0 10.0 40.0 9.617648786267557
338788.0 10.0 40.0 9.739368375891946
338789.0 10.0 40.0 10.003871513490108
338790.0 10.0 40.0 10.083458252938264
338791.0 10.0 40.0 10.308169254261074
338792.0 10.0 40.0 10.0506931920216
338793.0 10.0 40.0 8.196850249399004
339374.0 10.0 40.0 8.039118314352068
339441.0 10.0 40.0 8.212497241312754
339442.0 10.0 40.0 8.664257503936968
339443.0 10.0 40.0 8.45125501872994
339444.0 10.0 40.0 8.149305405309155
462465.0 10.0 40.0 8.721537664889572
462466.0 10.0 40.0 9.770182412999073
462467.0 10.0 40.0 9.735076625019076
462468.0 10.0 40.0 9.73976297337395
462469.0 10.0 40.0 9.77253788855927
462470.0 10.0 40.0 9.42143572401944
462471.0 10.0 40.0 8.845625025014575
462470.0 2.0 41.0 8.901365289842865
462471.0 2.0 41.0 9.21005523718121
462472.0 2.0 41.0 8.027627475964206
338793.0 3.0 41.0 8.047888376097006
462469.0 3.0 41.0 8.283223130023968
462470.0 3.0 41.0 11.38035616733312
462471.0 3.0 41.0 9.96208715581252
462472.0 3.0 41.0 8.189250149929036
338720.0 4.0 41.0 8.223595195355479
338721.0 4.0 41.0 8.046017265982233
338790.0 4.0 41.0 8.301409988112322
338791.0 4.0 41.0 8.663970300792768
338792.0 4.0 41.0 8.852650494771336
338793.0 4.0 41.0 8.127535171259575
